ID,LIMIT_BAL,AGE,PAY_0,BILL_AMT1,PAY_AMT1,actual_default,predicted_default_probability,risk_segment
6908,50000,46,0,1540,26060,0,0.41588151022565645,Elevated
24576,150000,31,0,15000,0,0,0.4787548264965612,Elevated
26767,50000,25,0,48065,1800,0,0.38283804163614554,Elevated
2157,290000,25,0,305823,15000,1,0.23012189426192106,Low
3180,500000,27,0,11354,9983,0,0.23012189426192106,Low
29383,200000,29,1,199417,0,0,0.5382018784947318,High
24455,210000,31,0,189650,5000,0,0.23012189426192106,Low
23887,260000,35,0,33078,10000,0,0.23012189426192106,Low
5505,450000,42,0,72517,0,0,0.347541273276117,Elevated
29721,150000,39,0,42029,2100,0,0.2969376556285609,Moderate
6909,90000,31,1,8318,39,0,0.7132952380403815,Very High
2160,220000,54,0,0,0,0,0.4787548264965612,Elevated
20843,180000,40,0,0,0,1,0.4787548264965612,Elevated
25129,290000,51,0,225478,10026,0,0.23012189426192106,Low
18809,210000,31,0,10968,2000,0,0.23012189426192106,Low
19078,90000,40,1,40467,2000,0,0.7735534076852892,Very High
24732,500000,30,0,24349,9605,0,0.23012189426192106,Low
3055,350000,60,1,0,1150,1,0.8499312992672737,Very High
8489,180000,32,0,154374,7500,0,0.23012189426192106,Low
23922,50000,23,0,4332,0,0,0.4787548264965612,Elevated
8788,320000,39,0,38332,30000,0,0.23012189426192106,Low
15140,410000,63,0,429392,15120,1,0.23012189426192106,Low
12739,80000,24,0,30985,14300,0,0.2969376556285609,Moderate
25032,90000,58,0,93737,3600,0,0.23012189426192106,Low
20340,100000,55,0,390,390,1,0.4787548264965612,Elevated
10309,70000,34,0,59841,2610,0,0.41588151022565645,Elevated
14602,30000,29,0,3489,14969,0,0.38283804163614554,Elevated
3592,220000,31,0,4935,3796,0,0.23012189426192106,Low
3561,80000,57,2,7431,2600,1,0.9260126453015733,Very High
24891,80000,30,0,76539,3510,0,0.7549348273892288,Very High
27482,160000,57,0,-1,0,1,0.4787548264965612,Elevated
10272,60000,29,0,59190,2200,0,0.38283804163614554,Elevated
16626,50000,32,2,30559,2000,1,0.9260126453015733,Very High
26721,50000,26,0,47052,1728,0,0.38283804163614554,Elevated
25616,120000,28,0,103676,3283,0,0.23012189426192106,Low
8313,240000,30,0,227675,10003,0,0.23012189426192106,Low
12180,320000,32,0,488,2301,0,0.347541273276117,Elevated
1560,240000,38,0,107148,9500,1,0.3697892966663365,Elevated
6134,240000,27,0,3293,9079,0,0.23012189426192106,Low
24413,30000,38,1,24305,0,1,0.7132952380403815,Very High
24096,260000,28,0,251829,10000,0,0.23012189426192106,Low
29296,120000,26,2,109110,0,0,0.8837290745778793,Very High
5520,80000,47,0,4762,1000,0,0.347541273276117,Elevated
6850,70000,55,0,67572,2124,0,0.38283804163614554,Elevated
12314,110000,51,0,69564,2500,0,0.23012189426192106,Low
24062,120000,27,0,29344,5053,0,0.23012189426192106,Low
14990,300000,40,0,2991,1278,0,0.347541273276117,Elevated
28443,120000,37,2,38757,4300,0,0.8837290745778793,Very High
14702,280000,37,0,149227,5505,0,0.23012189426192106,Low
27686,30000,24,0,20367,2000,0,0.38283804163614554,Elevated
29569,50000,48,1,6300,0,0,0.6088952019010146,High
28885,320000,41,0,2555,7100,0,0.2969376556285609,Moderate
2422,20000,24,4,16549,0,1,0.9260126453015733,Very High
9007,150000,35,2,144194,6600,1,0.9260126453015733,Very High
20661,10000,36,0,576,4009,1,0.38283804163614554,Elevated
20334,350000,64,0,30726,3000,0,0.23012189426192106,Low
26444,70000,50,0,12857,1530,0,0.41588151022565645,Elevated
10956,340000,36,0,91938,3911,0,0.23012189426192106,Low
18160,380000,42,0,2588,39529,0,0.23012189426192106,Low
12067,70000,53,2,54251,2600,1,0.9260126453015733,Very High
13426,180000,31,0,914,907,0,0.4787548264965612,Elevated
9386,10000,42,2,8965,1228,1,0.8837290745778793,Very High
27185,80000,27,1,3751,2,1,0.7132952380403815,Very High
22388,290000,30,0,288033,10784,0,0.23012189426192106,Low
21907,330000,27,0,0,0,0,0.4787548264965612,Elevated
7002,520000,55,0,2292,5227,0,0.23012189426192106,Low
6745,10000,23,0,7886,1500,1,0.6550539400917675,Very High
